source,clickbait,methods,gpt_zero_shot_clickbait,gpt_few_shot_clickbait,gemini_zero_shot_clickbait,gemini_few_shot_clickbait,gpt_zero_shot_source,gpt_few_shot_source,gemini_zero_shot_source,gemini_few_shot_source
"Global heating and urbanisation to blame for severity of UAE floods, study finds",Floodgate: The Shocking Truth About the UAE Floods That Will Leave You Questioning Everything - Is This the End of the World as We Know It?,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1]","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Exaggeration', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Exaggeration', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
House speaker condemned for remarks on pro-Palestine student protests,The Top 5 Most Outrageous Remarks by the House Speaker That Will Make Your Blood Boil - But What's Really Going On Behind the Scenes?,"[1, 0, 1, 0, 1, 1, 1, 0, 0, 0]","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism', 'Curiosity Gap', 'Ambiguous References'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Curiosity Gap', 'Sensationalism'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Meta value falls $190bn as investors react to plan to increase spending on AI,The #1 Reason Meta's Value Just Plummeted by $190bn - And the Top 3 Things You Need to Know About the AI Spending Plan That's Leaving Investors Speechless,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Lists/Superlatives', 'Emotional Triggers', 'Exaggeration'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Estate of Tupac Shakur threatens legal action against Drake over AI diss track,The Tupac Shakur Estate Just Declared War on Drake - But What's the Real Story Behind the AI Diss Track That's Got Everyone Talking?,"[0, 0, 1, 1, 1, 0, 1, 1, 0, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Emotional Triggers'])"
Ukrainian men abroad: share your views on Poland and Lithuanias statements on conscription,The Urgent Question That's on Every Ukrainian Man's Mind - Will You Be Forced to Fight? Share Your Thoughts and Find Out What's Really Going On,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Direct Appeals', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Provocative Questions', 'Curiosity Gap', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('Yes', ['Direct Appeals', 'Provocative Questions'])","('No', ['None'])"
People in India: share your thoughts on the election,What's the Real Story Behind the Election in India? Share Your Thoughts and Help Uncover the Truth - But Are You Prepared for the Surprising Answers?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Direct Appeals', 'Sensationalism'])","('Yes', ['Provocative Questions', 'Direct Appeals', 'Ambiguous References'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
How the National Enquirer boosted Trump and smeared his opponents: The only choice for president,The Explosive Truth About the National Enquirer's Secret Plot to Elect Trump - But What's the Real Motive Behind the Smear Campaigns? You Won't Believe the Shocking Answer,"[0, 0, 0, 1, 0, 0, 1, 1, 1, 1]","('Yes', ['Exaggeration', 'Sensationalism', 'Curiosity Gap', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Sensationalism', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Curiosity Gap', 'Unfinished Narratives'])","('Yes', ['Exaggeration', 'Sensationalism', 'Ambiguous References', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Direct Appeals'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Exaggeration'])","('Yes', ['Sensationalism', 'Exaggeration'])"
Have Everton dashed Liverpools title dreams?  Football Weekly Extra,The MOST Shocking Twist in Football History: Have Everton CRUSHED Liverpool's Title Hopes Forever?,"[0, 0, 1, 1, 1, 1, 0, 0, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Provocative Questions', 'Superlatives'])","('Yes', ['Provocative Questions', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Provocative Questions'])","('Yes', ['Provocative Questions', 'Emotional Triggers'])","('Yes', ['Provocative Questions', 'Unfinished Narratives'])"
Arsenal thrash Chelsea and a Football League update  Football Weekly,The BIGGEST Upset of the Season: Can Arsenal's THRASHING of Chelsea Change the Course of Football History? You Won't Believe What Happens Next!,"[0, 0, 1, 1, 1, 1, 0, 0, 0, 1]","('Yes', ['Exaggeration', 'Sensationalism', 'Provocative Questions', 'Curiosity Gap'])","('Yes', ['Exaggeration', 'Sensationalism', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
An episode from Womens Football Weekly  Fifpro exclusive interview,The MOST Explosive Interview in Women's Football: What Secrets Will Be Revealed in this Jaw-Dropping Conversation?,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 1]","('Yes', ['Exaggeration', 'Sensationalism', 'Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Fifpro exclusive interview and Chelsea stifle Bara  Womens Football Weekly,The Mysterious Case of Chelsea vs Bara: What Really Happened? And What Does this Exclusive Interview Reveal About the Future of Women's Football?,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 1]","('Yes', ['Curiosity Gap', 'Ambiguous References', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Ambiguous References', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Ambiguous References', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('Yes', ['Ambiguous References'])"
Police clash with US students protesting against war in Gaza  video,You Won't Believe What Happens When Police Meet US Students Protesting Against War in Gaza - The Shocking Truth Revealed!,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])"
Dancing in Haiti and a pink moon: photos of the day  Thursday,"The Most Bizarre and Amazing Photos You'll Ever See: Dancing in Haiti, a Pink Moon, and the Unbelievable Story Behind Them - What's the Connection?","[0, 1, 0, 1, 0, 0, 0, 1, 1, 1]","('Yes', ['Exaggeration', 'Lists/Superlatives', 'Curiosity Gap', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Lists/Superlatives', 'Exaggeration', 'Curiosity Gap', 'Sensationalism', 'Unexpected Associations'])","('Yes', ['Lists/Superlatives', 'Sensationalism', 'Unexpected Associations', 'Curiosity Gap'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
A littler splash and a Cuban mystery  readers best photos,A Little Splash of Fun and a Cuban Enigma: The Unlikely Duo that Will Capture Your Heart,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Ambiguous References', 'Unexpected Associations'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Unexpected Associations'])","('Yes', ['Emotional Triggers', 'Unexpected Associations', 'Ambiguous References', 'Exaggeration'])","('Yes', ['Emotional Triggers', 'Unexpected Associations', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Ambiguous References', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Ambiguous References'])","('Yes', ['Ambiguous References', 'Curiosity Gap'])","('Yes', ['Curiosity Gap', 'Ambiguous References'])"
"Subways, sphinxes and the Stones: highlights from NYCs Photography Show  in pictures","Subways, Sphinxes, and Rockstars: The Weird and Wonderful World of NYC's Photography Show","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Lists/Superlatives', 'Unexpected Associations'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Unexpected Associations'])","('Yes', ['Unexpected Associations', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Unexpected Associations', 'Sensationalism'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('Yes', ['Lists/Superlatives', 'Unexpected Associations'])"
"A lost astronaut, looted treasure and a hit naked Turk: the 60th Venice Biennale  in pictures","You Won't Believe the Wildest and Most Astounding Sights at the 60th Venice Biennale: A Lost Astronaut, Looted Treasure, and a Naked Turk - Be Prepared to Have Your Mind Blown!","[0, 1, 0, 1, 0, 0, 1, 0, 1, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Curiosity Gap', 'Lists/Superlatives'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives'])","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Emotional Triggers', 'Unfinished Narratives'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Ambiguous References', 'Unexpected Associations'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Ambiguous References', 'Unexpected Associations'])","('Yes', ['Lists/Superlatives', 'Sensationalism', 'Unexpected Associations'])","('Yes', ['Lists/Superlatives', 'Unexpected Associations'])"
Microsofts heavy bet on AI pays off as it beats expectations in second quarter,The AI Revolution: Will Microsoft's Bold Move Change the Game Forever? The Answer Will Surprise You...,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Exaggeration'])","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Exaggeration'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Possible delay and crime incentives: key takeaways from Trump immunity case,You Won't Believe the Shocking Truth: The Top 5 Most Alarming Takeaways from Trump's Immunity Case That Will Leave You Speechless and Wondering What's Next,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Sensationalism'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Curiosity Gap', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Ambiguous References', 'Sensationalism'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Hollywood reacts to overturning of Harvey Weinstein rape conviction: Beyond disappointed,OUTRAGE in Hollywood: You Won't Believe the Stunned Reactions to the Harvey Weinstein Verdict - Are You Ready to Join the Conversation and Demand Justice?,"[0, 1, 1, 1, 0, 0, 1, 0, 0, 0]","('Yes', ['Sensationalism', 'Emotional Triggers', 'Direct Appeals', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Direct Appeals', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Direct Appeals', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Direct Appeals', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Emotional Triggers', 'Sensationalism'])"
Manchester City fire title warning with Phil Foden on song against Brighton,The Secret's Out: What Manchester City's Thrilling Win Against Brighton Really Means for the Title Race - Can You Guess What's Coming Next?,"[1, 0, 0, 0, 0, 1, 1, 0, 1, 1]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Unfinished Narratives'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
"Sean Dyche defends his Everton tactics: Not a time for style, a time to win",SEAN DYCHE UNLEASHED: The Everton Manager's Jaw-Dropping Confession That Will Change Everything You Thought You Knew About the Beautiful Game,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Unfinished Narratives'])","('Yes', ['Exaggeration', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Exaggeration', 'Sensationalism', 'Curiosity Gap'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('Headline', ['Sean Dyche', 'defends his', 'Everton tactics', 'Not a', 'time for', 'style', 'a time', 'to win', 'No', 'None'])"
Alphabet hails once-in-a-generation AI opportunity as revenue rises,The AI Revolution Has Just Begun: Alphabet's Groundbreaking Announcement Is Only the Tip of the Iceberg - But What Happens Next Will Blow Your Mind,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Trump immunity case suggests new role for supreme court: kingmaker,The Top 3 Ways the Trump Immunity Case Will Change Everything: Uncovering the Supreme Court's Hidden Agenda and the Shocking Truth About Their New Role as Kingmaker,"[1, 1, 0, 0, 1, 1, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Lists/Superlatives', 'Exaggeration', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Ambiguous References'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism'])"
Police use rubber bullets and teargas to break up university protest in Georgia,The Darkest Hour: 5 Shocking Ways the University Protest in Georgia Just Took a Deadly Turn - Will You Join the Fight for Justice and Be Part of the Top 5 Most Powerful Reactions?,"[0, 0, 1, 0, 1, 0, 1, 1, 1, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Direct Appeals', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Unfinished Narratives', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Premier League: 10 things to look out for in this weekends football,"GET READY FOR THE WILDEST WEEKEND IN PREMIER LEAGUE HISTORY: The Top 10 Most Heart-Stopping, Jaw-Dropping Moments to Watch Out for - Can You Handle the Suspense?","[0, 0, 1, 1, 0, 1, 1, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Lists/Superlatives', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Provocative Questions'])","('No', ['None'])","('Yes', ['Lists/Superlatives'])","('Yes', ['Lists/Superlatives'])","('Yes', ['Lists/Superlatives'])"
NFL draft 2024: Chicago Bears set to take Caleb Williams with No 1 pick  live,The NFL Draft 2024: A Story That's Still Unfolding - Will the Chicago Bears Really Take Caleb Williams with the No 1 Pick? The Suspense Is Killing Us,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","('Yes', ['Curiosity Gap', 'Unfinished Narratives', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Emotional Triggers', 'Unfinished Narratives'])","('Yes', ['Unfinished Narratives', 'Provocative Questions', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Unfinished Narratives', 'Provocative Questions', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
"ByteDance would shut down TikTok in US rather than sell it, sources say",TIKTOK APOCALYPSE: The Jaw-Dropping Truth About the Social Media Giant's Future in the US - You Won't Believe the Shocking Reason Why It Might All Come Crashing Down,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Exaggeration', 'Sensationalism', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Curiosity Gap', 'Exaggeration', 'Unfinished Narratives'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Ambiguous References'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
US troops begin construction of Gaza aid pier as questions remain over distribution,"You Won't Believe the Massive Aid Pier US Troops Are Building in Gaza - The Biggest Humanitarian Effort in History, But Will It Really Reach Those in Need?","[0, 1, 0, 1, 1, 1, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
India election: fears that Modis BJP will polarise voters in fight for key state,The India Election Time Bomb: Will Modi's BJP Spark a Voter Backlash That Changes Everything? The Fate of a Nation Hangs in the Balance...,"[0, 0, 1, 1, 0, 1, 0, 1, 0, 0]","('Yes', ['Sensationalism', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions', 'Exaggeration', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Provocative Questions', 'Exaggeration'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
The US college protests and the crackdown on campuses - podcast,What's Really Going On at US Colleges? Listen to the Shocking Truth About the Protests and Crackdowns That Will Leave You Speechless...,"[1, 1, 0, 1, 0, 1, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
China foreign minister tells Blinken relations with the US could slip into downward spiral,Is This the End of US-China Relations? The One Comment from China's Foreign Minister That Could Change Everything - You Won't Believe What's at Stake...,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 1]","('Yes', ['Provocative Questions', 'Emotional Triggers', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
"The evolution of man: how Ryan Gosling changed stardom, cinema and society",The Mysterious Case of Ryan Gosling: How One Man Redefined the Fabric of Our Culture,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Ambiguous References'])","('No', ['None'])","('Yes', ['Exaggeration', 'Sensationalism'])","('Yes', ['Exaggeration', 'Sensationalism'])"
We got no heads up: Kirk Cousins surprised by Falcons Penix Jr selection,Kirk Cousins Reveals the Shocking Truth About the Falcons' Penix Jr Selection - You Won't Believe What He Said Next... Want to Know the Real Story?,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Unfinished Narratives', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism'])","('No', ['None'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Unfinished Narratives'])"
Wave of exceptionally hot weather scorches south and south-east Asia,The Unbearable Heat: A Deadly Wave of Scorching Temperatures Engulfs South and South-East Asia - Is This the New Normal?,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions', 'Exaggeration'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Trump was my mentor: David Pecker to testify for fourth time in hush-money trial,The Trump Connection: How a Mysterious Mentorship Could Blow the Lid Off the Hush-Money Trial,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism'])","('No', ['None'])","('No', ['None'])"
Manchester Citys well-oiled winning machine shows no sign of exhaustion,Are You Ready for Greatness? Manchester City's Winning Streak Will Leave You Breathless - Join the Journey to the Top!,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","('Yes', ['Provocative Questions', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions', 'Direct Appeals'])","('Yes', ['Provocative Questions', 'Emotional Triggers', 'Exaggeration', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Direct Appeals', 'Exaggeration'])","('Yes', ['Exaggeration', 'Sensationalism'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
